rank,lForm,lemma,pos,subLemma,wType,frequency,pmw,PB_rank,PB_frequency,PB_pmw,PM_rank,PM_frequency,PM_pmw,PN_rank,PN_frequency,PN_pmw,LB_rank,LB_frequency,LB_pmw,OW_rank,OW_frequency,OW_pmw,OT_rank,OT_frequency,OT_pmw,OP_rank,OP_frequency,OP_pmw,OB_rank,OB_frequency,OB_pmw,OC_rank,OC_frequency,OC_pmw,OY_rank,OY_frequency,OY_pmw,OV_rank,OV_frequency,OV_pmw,OL_rank,OL_frequency,OL_pmw,OM_rank,OM_frequency,OM_pmw,PB_fixed_rank,PB_fixed_frequency,PB_fixed_pmw,PB_variable_rank,PB_variable_frequency,PB_variable_pmw,PM_fixed_rank,PM_fixed_frequency,PM_fixed_pmw,PM_variable_rank,PM_variable_frequency,PM_variable_pmw,PN_fixed_rank,PN_fixed_frequency,PN_fixed_pmw,PN_variable_rank,PN_variable_frequency,PN_variable_pmw,LB_fixed_rank,LB_fixed_frequency,LB_fixed_pmw,LB_variable_rank,LB_variable_frequency,LB_variable_pmw,OW_fixed_rank,OW_fixed_frequency,OW_fixed_pmw,OW_variable_rank,OW_variable_frequency,OW_variable_pmw,core_rank,core_frequency,core_pmw
1130,キョウト,キョウト,名詞-固有名詞-地名-一般,,固,8495,81.2045047,1327,1980,69.594537,758,542,122.4976964,236,529,386.1956588,965,2610,86.1169425,1954,199,40.7712361,959,102,110.2774234,1198,310,82.6563512,1088,276,73.8428346,1538,514,50.2174297,720,1240,122.4596656,,,,3331,3,2.7801383,1769,190,37.2370939,1133,515,80.9311323,1385,1788,66.1253877,703,154,133.0738681,761,510,121.5241415,239,347,372.8777133,250,318,362.5162733,935,596,89.1523837,983,2424,84.0842437,2071,39,37.4438702,1956,192,40.7442273,937,120,109.2962867
1132,カード,カード,名詞-普通名詞-一般,card,外,8494,81.1949457,1377,1903,66.8880827,670,603,136.2843375,1305,119,86.875772,1670,1535,50.6473206,2506,133,27.2491176,1021,96,103.7905161,856,481,128.250661,1462,205,54.847033,396,2183,213.2775275,753,1195,118.0155648,6922,2,8.9613363,,,,4774,39,7.6434035,1408,419,65.8449407,1346,1842,68.1224632,801,138,119.2480117,653,583,138.9187735,1168,92,98.8609499,1231,80,91.1990625,1440,393,58.7867228,1688,1449,50.2632298,2353,31,29.7630763,2507,128,27.1628182,876,129,117.4935083
1137,チーム,チーム,名詞-普通名詞-一般,team,外,8470,80.9655274,1227,2130,74.8668504,396,973,219.9082262,269,460,335.822312,1851,1375,45.3681211,2762,113,23.1515059,2068,43,46.489502,654,666,177.5778383,1908,157,42.0048009,1158,688,67.2171044,493,1799,177.6652729,6922,2,8.9613363,3331,3,2.7801383,3633,61,11.955067,1294,457,71.8165582,1230,2010,74.3355869,333,297,256.6424599,398,922,219.6965852,276,309,332.0438427,253,315,359.0963085,2128,265,39.6399022,1849,1312,45.5109438,2015,41,39.3640687,2783,108,22.9186278,944,119,108.3854844
1144,バス,バス,名詞-普通名詞-一般,bus,外,8439,80.6691955,1571,1668,58.6281251,1135,381,86.1100043,1083,145,105.8570331,1280,2008,66.2539542,1218,402,82.3619945,1750,53,57.3010141,523,855,227.9715492,1962,152,40.6670683,957,853,83.3374856,497,1773,175.0975702,681,35,156.8233855,,,,2457,114,22.3422563,1399,421,66.1592363,1620,1533,56.6947536,978,115,99.3733431,1158,354,84.3520511,1106,96,103.1592521,1069,93,106.0189101,1246,459,68.6593022,1290,1899,65.8729285,1547,61,58.5660534,1199,397,84.2471783,1147,99,90.1694366
1146,アジア,アジア,名詞-固有名詞-地名-一般,Asia,固,8438,80.6596364,1353,1932,67.9073967,1010,425,96.0544667,439,307,224.1248909,1025,2470,81.4976429,431,1548,317.155143,311,297,321.1019093,4080,55,14.6648365,1624,184,49.2285564,2156,342,33.4131536,1808,506,49.9714442,3232,6,26.8840089,,,,1103,366,71.7304019,1267,467,73.3880365,1389,1785,66.0144391,879,126,108.8786193,1029,394,93.8833564,475,197,211.6913819,436,198,225.7176796,942,589,88.105292,1021,2348,81.447939,460,304,291.8701677,431,1492,316.6165994,574,194,176.6956636
1175,ソフト,ソフト,名詞-普通名詞-形状詞可能,soft,外,8199,78.3750129,1773,1473,51.7741176,615,647,146.2287999,1856,81,59.1339289,2309,1079,35.6016019,1633,260,53.2689517,797,122,131.9004476,1898,173,46.1275766,5629,42,11.2369531,273,3181,310.7814086,866,1050,103.6956846,10039,1,4.4806682,,,,2820,90,17.6386234,1779,330,51.8587838,1768,1402,51.8499964,674,159,137.3944482,628,604,143.9227087,1909,54,58.0270793,2035,47,53.5794492,2399,229,34.2548588,2318,1020,35.3819837,1547,61,58.5660534,1659,245,51.9913317,881,128,116.5827059
1184,イギリス,イギリス,名詞-固有名詞-地名-国,Inglez,固,8149,77.8970582,1007,2547,89.5238816,1717,259,58.5367221,3278,41,29.9319887,698,3579,118.0890947,1341,354,72.5277265,346,273,295.1542803,6392,26,6.9324682,1383,218,58.3251375,2566,276,26.9650012,2480,350,34.5652282,6922,2,8.9613363,,,,1592,224,43.9005738,1074,541,85.0169759,1007,2423,89.6095159,1561,75,64.808702,1762,240,57.1878313,3534,25,26.8643886,2943,30,34.1996484,751,735,109.9446343,694,3394,117.7318164,1294,78,74.8877404,1340,341,72.3634453,2273,48,43.7185147
1190,ファイル,ファイル,名詞-普通名詞-サ変可能,file,外,8107,77.4955762,639,3946,138.6969913,846,495,111.8752024,6637,16,11.6807761,2551,961,31.7081922,6024,25,5.1220146,1123,86,92.979004,8381,16,4.2661343,2782,101,27.0221967,405,2130,208.0994657,3473,234,23.109324,,,,1434,38,35.2150854,3709,59,11.5630976,618,925,145.3617425,638,3760,139.0556252,1089,106,91.5962988,809,482,114.8522278,5516,14,15.0440576,9476,6,6.8399297,2981,177,26.4764629,2558,907,31.4622149,8692,2,1.9201985,5931,25,5.3052379,2184,50,45.5401195
1193,エド,エド,名詞-固有名詞-地名-一般,,固,8100,77.4286626,1001,2564,90.1214105,1528,290,65.5430479,2095,71,51.8334438,641,3824,126.172869,11076,6,1.2292835,662,145,156.7669254,1570,222,59.1926128,976,308,82.4043227,2659,264,25.7926098,2321,375,37.0341731,6922,2,8.9613363,,,,5634,29,5.6835564,928,616,96.8030631,1037,2363,87.3905432,1328,88,76.0422103,1527,273,65.0511581,2176,46,49.430475,2238,42,47.8795078,570,947,141.656556,657,3550,123.1431786,,,,10881,6,1.2732571,1338,86,78.3290055
1212,キロ,キロ,名詞-普通名詞-助数詞可能,kilo,外,7964,76.1286258,1928,1334,46.8884406,1219,356,80.4597415,234,536,391.3059984,1361,1882,62.0965846,1409,321,65.7666672,6629,8,8.6492097,2025,160,42.6613425,1267,236,63.1409745,751,1101,107.5669069,533,1651,163.0491193,4389,4,17.9226726,,,,1076,375,73.4942642,1688,348,54.6874448,1971,1235,45.6738556,1063,108,93.3245309,1276,325,77.4418549,264,316,339.5658715,184,391,445.7354178,1402,403,60.2825682,1379,1759,61.0165778,1229,84,80.6483358,1402,313,66.4215788,809,141,128.4231369
